SCATS Number,target_date,target_interval,target_time,target_date_obj
970,2006-10-05,3,00:45,2006-10-05
970,2006-10-05,4,01:00,2006-10-05
970,2006-10-05,5,01:15,2006-10-05
970,2006-10-05,6,01:30,2006-10-05
970,2006-10-05,7,01:45,2006-10-05
970,2006-10-05,8,02:00,2006-10-05
970,2006-10-05,9,02:15,2006-10-05
970,2006-10-05,10,02:30,2006-10-05
970,2006-10-05,11,02:45,2006-10-05
970,2006-10-05,12,03:00,2006-10-05
970,2006-10-05,13,03:15,2006-10-05
970,2006-10-05,14,03:30,2006-10-05
970,2006-10-05,15,03:45,2006-10-05
970,2006-10-05,16,04:00,2006-10-05
970,2006-10-05,17,04:15,2006-10-05
970,2006-10-05,18,04:30,2006-10-05
970,2006-10-05,19,04:45,2006-10-05
970,2006-10-05,20,05:00,2006-10-05
970,2006-10-05,21,05:15,2006-10-05
970,2006-10-05,22,05:30,2006-10-05
970,2006-10-05,23,05:45,2006-10-05
970,2006-10-05,24,06:00,2006-10-05
970,2006-10-05,25,06:15,2006-10-05
970,2006-10-05,26,06:30,2006-10-05
970,2006-10-05,27,06:45,2006-10-05
970,2006-10-05,28,07:00,2006-10-05
970,2006-10-05,29,07:15,2006-10-05
970,2006-10-05,30,07:30,2006-10-05
970,2006-10-05,31,07:45,2006-10-05
970,2006-10-05,32,08:00,2006-10-05
970,2006-10-05,33,08:15,2006-10-05
970,2006-10-05,34,08:30,2006-10-05
970,2006-10-05,35,08:45,2006-10-05
970,2006-10-05,36,09:00,2006-10-05
970,2006-10-05,37,09:15,2006-10-05
970,2006-10-05,38,09:30,2006-10-05
970,2006-10-05,39,09:45,2006-10-05
970,2006-10-05,40,10:00,2006-10-05
970,2006-10-05,41,10:15,2006-10-05
970,2006-10-05,42,10:30,2006-10-05
970,2006-10-05,43,10:45,2006-10-05
970,2006-10-05,44,11:00,2006-10-05
970,2006-10-05,45,11:15,2006-10-05
970,2006-10-05,46,11:30,2006-10-05
970,2006-10-05,47,11:45,2006-10-05
970,2006-10-05,48,12:00,2006-10-05
970,2006-10-05,49,12:15,2006-10-05
970,2006-10-05,50,12:30,2006-10-05
970,2006-10-05,51,12:45,2006-10-05
970,2006-10-05,52,13:00,2006-10-05
970,2006-10-05,53,13:15,2006-10-05
970,2006-10-05,54,13:30,2006-10-05
970,2006-10-05,55,13:45,2006-10-05
970,2006-10-05,56,14:00,2006-10-05
970,2006-10-05,57,14:15,2006-10-05
970,2006-10-05,58,14:30,2006-10-05
970,2006-10-05,59,14:45,2006-10-05
970,2006-10-05,60,15:00,2006-10-05
970,2006-10-05,61,15:15,2006-10-05
970,2006-10-05,62,15:30,2006-10-05
970,2006-10-05,63,15:45,2006-10-05
970,2006-10-05,64,16:00,2006-10-05
970,2006-10-05,65,16:15,2006-10-05
970,2006-10-05,66,16:30,2006-10-05
970,2006-10-05,67,16:45,2006-10-05
970,2006-10-05,68,17:00,2006-10-05
970,2006-10-05,69,17:15,2006-10-05
970,2006-10-05,70,17:30,2006-10-05
970,2006-10-05,71,17:45,2006-10-05
970,2006-10-05,72,18:00,2006-10-05
970,2006-10-05,73,18:15,2006-10-05
970,2006-10-05,74,18:30,2006-10-05
970,2006-10-05,75,18:45,2006-10-05
970,2006-10-05,76,19:00,2006-10-05
970,2006-10-05,77,19:15,2006-10-05
970,2006-10-05,78,19:30,2006-10-05
970,2006-10-05,79,19:45,2006-10-05
970,2006-10-05,80,20:00,2006-10-05
970,2006-10-05,81,20:15,2006-10-05
970,2006-10-05,82,20:30,2006-10-05
970,2006-10-05,83,20:45,2006-10-05
970,2006-10-05,84,21:00,2006-10-05
970,2006-10-05,85,21:15,2006-10-05
970,2006-10-05,86,21:30,2006-10-05
970,2006-10-05,87,21:45,2006-10-05
970,2006-10-05,88,22:00,2006-10-05
970,2006-10-05,89,22:15,2006-10-05
970,2006-10-05,90,22:30,2006-10-05
970,2006-10-05,91,22:45,2006-10-05
970,2006-10-05,92,23:00,2006-10-05
970,2006-10-05,93,23:15,2006-10-05
970,2006-10-05,94,23:30,2006-10-05
970,2006-10-05,95,23:45,2006-10-05
970,2006-10-06,0,00:00,2006-10-06
970,2006-10-06,1,00:15,2006-10-06
970,2006-10-06,2,00:30,2006-10-06
970,2006-10-06,3,00:45,2006-10-06
970,2006-10-06,4,01:00,2006-10-06
970,2006-10-06,5,01:15,2006-10-06
970,2006-10-06,6,01:30,2006-10-06
970,2006-10-06,7,01:45,2006-10-06
970,2006-10-06,8,02:00,2006-10-06
970,2006-10-06,9,02:15,2006-10-06
970,2006-10-06,10,02:30,2006-10-06
970,2006-10-06,11,02:45,2006-10-06
970,2006-10-06,12,03:00,2006-10-06
970,2006-10-06,13,03:15,2006-10-06
970,2006-10-06,14,03:30,2006-10-06
970,2006-10-06,15,03:45,2006-10-06
970,2006-10-06,16,04:00,2006-10-06
970,2006-10-06,17,04:15,2006-10-06
970,2006-10-06,18,04:30,2006-10-06
970,2006-10-06,19,04:45,2006-10-06
970,2006-10-06,20,05:00,2006-10-06
970,2006-10-06,21,05:15,2006-10-06
970,2006-10-06,22,05:30,2006-10-06
970,2006-10-06,23,05:45,2006-10-06
970,2006-10-06,24,06:00,2006-10-06
970,2006-10-06,25,06:15,2006-10-06
970,2006-10-06,26,06:30,2006-10-06
970,2006-10-06,27,06:45,2006-10-06
970,2006-10-06,28,07:00,2006-10-06
970,2006-10-06,29,07:15,2006-10-06
970,2006-10-06,30,07:30,2006-10-06
970,2006-10-06,31,07:45,2006-10-06
970,2006-10-06,32,08:00,2006-10-06
970,2006-10-06,33,08:15,2006-10-06
970,2006-10-06,34,08:30,2006-10-06
970,2006-10-06,35,08:45,2006-10-06
970,2006-10-06,36,09:00,2006-10-06
970,2006-10-06,37,09:15,2006-10-06
970,2006-10-06,38,09:30,2006-10-06
970,2006-10-06,39,09:45,2006-10-06
970,2006-10-06,40,10:00,2006-10-06
970,2006-10-06,41,10:15,2006-10-06
970,2006-10-06,42,10:30,2006-10-06
970,2006-10-06,43,10:45,2006-10-06
970,2006-10-06,44,11:00,2006-10-06
970,2006-10-06,45,11:15,2006-10-06
970,2006-10-06,46,11:30,2006-10-06
970,2006-10-06,47,11:45,2006-10-06
970,2006-10-06,48,12:00,2006-10-06
970,2006-10-06,49,12:15,2006-10-06
970,2006-10-06,50,12:30,2006-10-06
970,2006-10-06,51,12:45,2006-10-06
970,2006-10-06,52,13:00,2006-10-06
970,2006-10-06,53,13:15,2006-10-06
970,2006-10-06,54,13:30,2006-10-06
970,2006-10-06,55,13:45,2006-10-06
970,2006-10-06,56,14:00,2006-10-06
970,2006-10-06,57,14:15,2006-10-06
970,2006-10-06,58,14:30,2006-10-06
970,2006-10-06,59,14:45,2006-10-06
970,2006-10-06,60,15:00,2006-10-06
970,2006-10-06,61,15:15,2006-10-06
970,2006-10-06,62,15:30,2006-10-06
970,2006-10-06,63,15:45,2006-10-06
970,2006-10-06,64,16:00,2006-10-06
970,2006-10-06,65,16:15,2006-10-06
970,2006-10-06,66,16:30,2006-10-06
970,2006-10-06,67,16:45,2006-10-06
970,2006-10-06,68,17:00,2006-10-06
970,2006-10-06,69,17:15,2006-10-06
970,2006-10-06,70,17:30,2006-10-06
970,2006-10-06,71,17:45,2006-10-06
970,2006-10-06,72,18:00,2006-10-06
970,2006-10-06,73,18:15,2006-10-06
970,2006-10-06,74,18:30,2006-10-06
970,2006-10-06,75,18:45,2006-10-06
970,2006-10-06,76,19:00,2006-10-06
970,2006-10-06,77,19:15,2006-10-06
970,2006-10-06,78,19:30,2006-10-06
970,2006-10-06,79,19:45,2006-10-06
970,2006-10-06,80,20:00,2006-10-06
970,2006-10-06,81,20:15,2006-10-06
970,2006-10-06,82,20:30,2006-10-06
970,2006-10-06,83,20:45,2006-10-06
970,2006-10-06,84,21:00,2006-10-06
970,2006-10-06,85,21:15,2006-10-06
970,2006-10-06,86,21:30,2006-10-06
970,2006-10-06,87,21:45,2006-10-06
970,2006-10-06,88,22:00,2006-10-06
970,2006-10-06,89,22:15,2006-10-06
970,2006-10-06,90,22:30,2006-10-06
970,2006-10-06,91,22:45,2006-10-06
970,2006-10-06,92,23:00,2006-10-06
970,2006-10-06,93,23:15,2006-10-06
970,2006-10-06,94,23:30,2006-10-06
970,2006-10-06,95,23:45,2006-10-06
970,2006-10-07,0,00:00,2006-10-07
970,2006-10-07,1,00:15,2006-10-07
970,2006-10-07,2,00:30,2006-10-07
970,2006-10-07,3,00:45,2006-10-07
970,2006-10-07,4,01:00,2006-10-07
970,2006-10-07,5,01:15,2006-10-07
970,2006-10-07,6,01:30,2006-10-07
970,2006-10-07,7,01:45,2006-10-07
970,2006-10-07,8,02:00,2006-10-07
970,2006-10-07,9,02:15,2006-10-07
970,2006-10-07,10,02:30,2006-10-07
970,2006-10-07,11,02:45,2006-10-07
970,2006-10-07,12,03:00,2006-10-07
970,2006-10-07,13,03:15,2006-10-07
970,2006-10-07,14,03:30,2006-10-07
970,2006-10-07,15,03:45,2006-10-07
970,2006-10-07,16,04:00,2006-10-07
970,2006-10-07,17,04:15,2006-10-07
970,2006-10-07,18,04:30,2006-10-07
970,2006-10-07,19,04:45,2006-10-07
970,2006-10-07,20,05:00,2006-10-07
970,2006-10-07,21,05:15,2006-10-07
970,2006-10-07,22,05:30,2006-10-07
970,2006-10-07,23,05:45,2006-10-07
970,2006-10-07,24,06:00,2006-10-07
970,2006-10-07,25,06:15,2006-10-07
970,2006-10-07,26,06:30,2006-10-07
970,2006-10-07,27,06:45,2006-10-07
970,2006-10-07,28,07:00,2006-10-07
970,2006-10-07,29,07:15,2006-10-07
970,2006-10-07,30,07:30,2006-10-07
970,2006-10-07,31,07:45,2006-10-07
970,2006-10-07,32,08:00,2006-10-07
970,2006-10-07,33,08:15,2006-10-07
970,2006-10-07,34,08:30,2006-10-07
970,2006-10-07,35,08:45,2006-10-07
970,2006-10-07,36,09:00,2006-10-07
970,2006-10-07,37,09:15,2006-10-07
970,2006-10-07,38,09:30,2006-10-07
970,2006-10-07,39,09:45,2006-10-07
970,2006-10-07,40,10:00,2006-10-07
970,2006-10-07,41,10:15,2006-10-07
970,2006-10-07,42,10:30,2006-10-07
970,2006-10-07,43,10:45,2006-10-07
970,2006-10-07,44,11:00,2006-10-07
970,2006-10-07,45,11:15,2006-10-07
970,2006-10-07,46,11:30,2006-10-07
970,2006-10-07,47,11:45,2006-10-07
970,2006-10-07,48,12:00,2006-10-07
970,2006-10-07,49,12:15,2006-10-07
970,2006-10-07,50,12:30,2006-10-07
970,2006-10-07,51,12:45,2006-10-07
970,2006-10-07,52,13:00,2006-10-07
970,2006-10-07,53,13:15,2006-10-07
970,2006-10-07,54,13:30,2006-10-07
970,2006-10-07,55,13:45,2006-10-07
970,2006-10-07,56,14:00,2006-10-07
970,2006-10-07,57,14:15,2006-10-07
970,2006-10-07,58,14:30,2006-10-07
970,2006-10-07,59,14:45,2006-10-07
970,2006-10-07,60,15:00,2006-10-07
970,2006-10-07,61,15:15,2006-10-07
970,2006-10-07,62,15:30,2006-10-07
970,2006-10-07,63,15:45,2006-10-07
970,2006-10-07,64,16:00,2006-10-07
970,2006-10-07,65,16:15,2006-10-07
970,2006-10-07,66,16:30,2006-10-07
970,2006-10-07,67,16:45,2006-10-07
970,2006-10-07,68,17:00,2006-10-07
970,2006-10-07,69,17:15,2006-10-07
970,2006-10-07,70,17:30,2006-10-07
970,2006-10-07,71,17:45,2006-10-07
970,2006-10-07,72,18:00,2006-10-07
970,2006-10-07,73,18:15,2006-10-07
970,2006-10-07,74,18:30,2006-10-07
970,2006-10-07,75,18:45,2006-10-07
970,2006-10-07,76,19:00,2006-10-07
970,2006-10-07,77,19:15,2006-10-07
970,2006-10-07,78,19:30,2006-10-07
